outcomes,bet_price,title,date
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Paul Ryan,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Joe Kennedy III,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Andrew Yang,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Mark Cuban,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tammy Duckworth,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-21 09:21:48.274327
